Country Name,Country Code,Series Name,Series Code,2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021]
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.081,63.565,62.575,..
Afghanistan,AFG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,578.985909020837,584.386882896106,553.036478884366,426.030015291798
Afghanistan,AFG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.165454681763912,0.160976451493467,..,..
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.184,79.282,76.989,..
Albania,ALB,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4431.53918098494,4543.38652018643,4410.45516523171,4830.59631691622
Albania,ALB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.78273894754715,1.69224831964856,..,..
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.066,76.474,74.453,..
Algeria,DZA,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4188.22175743517,4153.00481594021,3873.5100150745,3943.17198337712
Algeria,DZA,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.9482902580223,4.01003452306043,..,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..
American Samoa,ASM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13049.3301536176,13288.3565565116,14303.6270325756,14396.3685581274
American Samoa,ASM,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,..,..,..,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..
Andorra,AND,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,39319.9364136952,39413.6344732996,34394.2775534697,36839.8762185682
Andorra,AND,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,6.53220121227978,6.54938894201171,..,..
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,62.144,62.448,62.261,..
Angola,AGO,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,2677.17781589774,2569.69134652945,2347.78703247628,2299.6405718262
Angola,AGO,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,0.766143022103473,0.77920257513549,..,..
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.511,78.691,78.841,..
Antigua and Barbuda,ATG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,16967.0862296598,17697.2311549703,14040.3675461654,14692.4156212259
Antigua and Barbuda,ATG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,5.56610558644115,5.64499474501464,..,..
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,76.999,77.284,75.892,..
Argentina,ARG,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,13105.397163317,12716.2242038544,11341.2683655863,12402.4907912317
Argentina,ARG,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,3.97577197057929,3.74065029063396,..,..
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.064,75.439,72.173,..
Armenia,ARM,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,4215.89945615491,4561.96786576599,4256.13129015707,4522.31910742549
